"id","parent_id/id","code_prefix_start","code_prefix_end","name","cuenta_sat","cuenta_tipo"
"cod_sat_603","cod_sat_119",601.16,601.16,"Transporte",601.16,"Deudora"
"cod_sat_604","cod_sat_119",601.17,601.17,"Servicio médico",601.17,"Deudora"
"cod_sat_605","cod_sat_119",601.18,601.18,"Ayuda en gastos funerarios",601.18,"Deudora"
"cod_sat_606","cod_sat_119",601.19,601.19,"Fondo de ahorro",601.19,"Deudora"
"cod_sat_607","cod_sat_119",601.20,601.20,"Cuotas sindicales",601.20,"Deudora"
"cod_sat_608","cod_sat_119",601.21,601.21,"PTU",601.21,"Deudora"
"cod_sat_609","cod_sat_119",601.22,601.22,"Estímulo al personal",601.22,"Deudora"
"cod_sat_610","cod_sat_119",601.23,601.23,"Previsión social",601.23,"Deudora"
"cod_sat_611","cod_sat_119",601.24,601.24,"Aportaciones para el plan de jubilación",601.24,"Deudora"
"cod_sat_612","cod_sat_119",601.25,601.25,"Otras prestaciones al personal",601.25,"Deudora"
"cod_sat_613","cod_sat_119",601.26,601.26,"Cuotas al IMSS",601.26,"Deudora"
"cod_sat_614","cod_sat_119",601.27,601.27,"Aportaciones al infonavit",601.27,"Deudora"
"cod_sat_615","cod_sat_119",601.28,601.28,"Aportaciones al SAR",601.28,"Deudora"
"cod_sat_616","cod_sat_119",601.29,601.29,"Impuesto estatal sobre nóminas",601.29,"Deudora"
"cod_sat_617","cod_sat_119",601.30,601.30,"Otras aportaciones",601.30,"Deudora"
"cod_sat_618","cod_sat_119",601.31,601.31,"Asimilados a salarios",601.31,"Deudora"
"cod_sat_619","cod_sat_119",601.32,601.32,"Servicios administrativos",601.32,"Deudora"
"cod_sat_620","cod_sat_119",601.33,601.33,"Servicios administrativos partes relacionadas",601.33,"Deudora"
"cod_sat_621","cod_sat_119",601.34,601.34,"Honorarios a personas físicas residentes nacionales",601.34,"Deudora"
"cod_sat_622","cod_sat_119",601.35,601.35,"Honorarios a personas físicas residentes nacionales partes relacionadas",601.35,"Deudora"
"cod_sat_623","cod_sat_119",601.36,601.36,"Honorarios a personas físicas residentes del extranjero",601.36,"Deudora"
"cod_sat_624","cod_sat_119",601.37,601.37,"Honorarios a personas físicas residentes del extranjero partes relacionadas",601.37,"Deudora"
"cod_sat_625","cod_sat_119",601.38,601.38,"Honorarios a personas morales residentes nacionales",601.38,"Deudora"
"cod_sat_626","cod_sat_119",601.39,601.39,"Honorarios a personas morales residentes nacionales partes relacionadas",601.39,"Deudora"
"cod_sat_627","cod_sat_119",601.40,601.40,"Honorarios a personas morales residentes del extranjero",601.40,"Deudora"
"cod_sat_628","cod_sat_119",601.41,601.41,"Honorarios a personas morales residentes del extranjero partes relacionadas",601.41,"Deudora"
"cod_sat_629","cod_sat_119",601.42,601.42,"Honorarios aduanales personas físicas",601.42,"Deudora"
"cod_sat_630","cod_sat_119",601.43,601.43,"Honorarios aduanales personas morales",601.43,"Deudora"
"cod_sat_631","cod_sat_119",601.44,601.44,"Honorarios al consejo de administración",601.44,"Deudora"
"cod_sat_632","cod_sat_119",601.45,601.45,"Arrendamiento a personas físicas residentes nacionales",601.45,"Deudora"
"cod_sat_633","cod_sat_119",601.46,601.46,"Arrendamiento a personas morales residentes nacionales",601.46,"Deudora"
"cod_sat_634","cod_sat_119",601.47,601.47,"Arrendamiento a residentes del extranjero",601.47,"Deudora"
"cod_sat_635","cod_sat_119",601.48,601.48,"Combustibles y lubricantes",601.48,"Deudora"
"cod_sat_636","cod_sat_119",601.49,601.49,"Viáticos y gastos de viaje",601.49,"Deudora"
"cod_sat_637","cod_sat_120",601.50,601.50,"Teléfono, internet",601.50,"Deudora"
"cod_sat_638","cod_sat_120",601.51,601.51,"Agua",601.51,"Deudora"
"cod_sat_639","cod_sat_120",601.52,601.52,"Energía eléctrica",601.52,"Deudora"
"cod_sat_640","cod_sat_120",601.53,601.53,"Vigilancia y seguridad",601.53,"Deudora"
"cod_sat_641","cod_sat_120",601.54,601.54,"Limpieza",601.54,"Deudora"
"cod_sat_642","cod_sat_120",601.55,601.55,"Papelería y artículos de oficina",601.55,"Deudora"
"cod_sat_643","cod_sat_120",601.56,601.56,"Mantenimiento y conservación",601.56,"Deudora"
"cod_sat_644","cod_sat_120",601.57,601.57,"Seguros y fianzas",601.57,"Deudora"
"cod_sat_645","cod_sat_120",601.58,601.58,"Otros impuestos y derechos",601.58,"Deudora"
"cod_sat_646","cod_sat_120",601.59,601.59,"Recargos fiscales",601.59,"Deudora"
"cod_sat_647","cod_sat_120",601.60,601.60,"Cuotas y suscripciones",601.60,"Deudora"
"cod_sat_648","cod_sat_120",601.61,601.61,"Propaganda y publicidad",601.61,"Deudora"
"cod_sat_649","cod_sat_120",601.62,601.62,"Capacitación al personal",601.62,"Deudora"
"cod_sat_650","cod_sat_120",601.63,601.63,"Donativos y ayudas",601.63,"Deudora"
"cod_sat_651","cod_sat_120",601.64,601.64,"Asistencia técnica",601.64,"Deudora"
"cod_sat_652","cod_sat_120",601.65,601.65,"Regalías sujetas a otros porcentajes",601.65,"Deudora"
"cod_sat_653","cod_sat_120",601.66,601.66,"Regalías sujetas al 5%",601.66,"Deudora"
"cod_sat_654","cod_sat_120",601.67,601.67,"Regalías sujetas al 10%",601.67,"Deudora"
"cod_sat_655","cod_sat_120",601.68,601.68,"Regalías sujetas al 15%",601.68,"Deudora"
"cod_sat_656","cod_sat_120",601.69,601.69,"Regalías sujetas al 25%",601.69,"Deudora"
"cod_sat_657","cod_sat_120",601.70,601.70,"Regalías sujetas al 30%",601.70,"Deudora"
"cod_sat_658","cod_sat_120",601.71,601.71,"Regalías sin retención",601.71,"Deudora"
"cod_sat_659","cod_sat_120",601.72,601.72,"Fletes y acarreos",601.72,"Deudora"
"cod_sat_660","cod_sat_120",601.73,601.73,"Gastos de importación",601.73,"Deudora"
"cod_sat_661","cod_sat_120",601.74,601.74,"Comisiones sobre ventas",601.74,"Deudora"
"cod_sat_662","cod_sat_120",601.75,601.75,"Comisiones por tarjetas de crédito",601.75,"Deudora"
"cod_sat_663","cod_sat_120",601.76,601.76,"Patentes y marcas",601.76,"Deudora"
"cod_sat_664","cod_sat_120",601.77,601.77,"Uniformes",601.77,"Deudora"
"cod_sat_665","cod_sat_120",601.78,601.78,"Prediales",601.78,"Deudora"
"cod_sat_666","cod_sat_120",601.79,601.79,"Gastos generales de urbanización",601.79,"Deudora"
"cod_sat_667","cod_sat_120",601.80,601.80,"Gastos generales de construcción",601.80,"Deudora"
"cod_sat_668","cod_sat_120",601.81,601.81,"Fletes del extranjero",601.81,"Deudora"
"cod_sat_669","cod_sat_120",601.82,601.82,"Recolección de bienes del sector agropecuario y/o ganadero",601.82,"Deudora"
"cod_sat_670","cod_sat_120",601.83,601.83,"Gastos no deducibles (sin requisitos fiscales)",601.83,"Deudora"
"cod_sat_671","cod_sat_120",601.84,601.84,"Otros gastos generales",601.84,"Deudora"
"cod_sat_672","cod_sat_120",602.01,602.01,"Sueldos y salarios",602.01,"Deudora"
"cod_sat_673","cod_sat_120",602.02,602.02,"Compensaciones",602.02,"Deudora"
"cod_sat_674","cod_sat_120",602.03,602.03,"Tiempos extras",602.03,"Deudora"
"cod_sat_675","cod_sat_120",602.04,602.04,"Premios de asistencia",602.04,"Deudora"
"cod_sat_676","cod_sat_120",602.05,602.05,"Premios de puntualidad",602.05,"Deudora"
"cod_sat_677","cod_sat_120",602.06,602.06,"Vacaciones",602.06,"Deudora"
"cod_sat_678","cod_sat_120",602.07,602.07,"Prima vacacional",602.07,"Deudora"
"cod_sat_679","cod_sat_120",602.08,602.08,"Prima dominical",602.08,"Deudora"
"cod_sat_680","cod_sat_120",602.09,602.09,"Días festivos",602.09,"Deudora"
"cod_sat_681","cod_sat_120",602.10,602.10,"Gratificaciones",602.10,"Deudora"
"cod_sat_682","cod_sat_120",602.11,602.11,"Primas de antigüedad",602.11,"Deudora"
"cod_sat_683","cod_sat_120",602.12,602.12,"Aguinaldo",602.12,"Deudora"
"cod_sat_684","cod_sat_120",602.13,602.13,"Indemnizaciones",602.13,"Deudora"
"cod_sat_685","cod_sat_120",602.14,602.14,"Destajo",602.14,"Deudora"
"cod_sat_686","cod_sat_120",602.15,602.15,"Despensa",602.15,"Deudora"
"cod_sat_687","cod_sat_120",602.16,602.16,"Transporte",602.16,"Deudora"
"cod_sat_688","cod_sat_120",602.17,602.17,"Servicio médico",602.17,"Deudora"
"cod_sat_689","cod_sat_120",602.18,602.18,"Ayuda en gastos funerarios",602.18,"Deudora"
"cod_sat_690","cod_sat_120",602.19,602.19,"Fondo de ahorro",602.19,"Deudora"
"cod_sat_691","cod_sat_120",602.20,602.20,"Cuotas sindicales",602.20,"Deudora"
"cod_sat_692","cod_sat_120",602.21,602.21,"PTU",602.21,"Deudora"
"cod_sat_693","cod_sat_120",602.22,602.22,"Estímulo al personal",602.22,"Deudora"
"cod_sat_694","cod_sat_120",602.23,602.23,"Previsión social",602.23,"Deudora"
"cod_sat_695","cod_sat_120",602.24,602.24,"Aportaciones para el plan de jubilación",602.24,"Deudora"
"cod_sat_696","cod_sat_120",602.25,602.25,"Otras prestaciones al personal",602.25,"Deudora"
"cod_sat_697","cod_sat_120",602.26,602.26,"Cuotas al IMSS",602.26,"Deudora"
"cod_sat_698","cod_sat_120",602.27,602.27,"Aportaciones al infonavit",602.27,"Deudora"
"cod_sat_699","cod_sat_120",602.28,602.28,"Aportaciones al SAR",602.28,"Deudora"
"cod_sat_700","cod_sat_120",602.29,602.29,"Impuesto estatal sobre nóminas",602.29,"Deudora"
"cod_sat_701","cod_sat_120",602.30,602.30,"Otras aportaciones",602.30,"Deudora"
"cod_sat_702","cod_sat_120",602.31,602.31,"Asimilados a salarios",602.31,"Deudora"
"cod_sat_703","cod_sat_120",602.32,602.32,"Servicios administrativos",602.32,"Deudora"
"cod_sat_704","cod_sat_120",602.33,602.33,"Servicios administrativos partes relacionadas",602.33,"Deudora"
"cod_sat_705","cod_sat_120",602.34,602.34,"Honorarios a personas físicas residentes nacionales",602.34,"Deudora"
"cod_sat_706","cod_sat_120",602.35,602.35,"Honorarios a personas físicas residentes nacionales partes relacionadas",602.35,"Deudora"
"cod_sat_707","cod_sat_120",602.36,602.36,"Honorarios a personas físicas residentes del extranjero",602.36,"Deudora"
"cod_sat_708","cod_sat_120",602.37,602.37,"Honorarios a personas físicas residentes del extranjero partes relacionadas",602.37,"Deudora"
"cod_sat_709","cod_sat_120",602.38,602.38,"Honorarios a personas morales residentes nacionales",602.38,"Deudora"
"cod_sat_710","cod_sat_120",602.39,602.39,"Honorarios a personas morales residentes nacionales partes relacionadas",602.39,"Deudora"
"cod_sat_711","cod_sat_120",602.40,602.40,"Honorarios a personas morales residentes del extranjero",602.40,"Deudora"
"cod_sat_712","cod_sat_120",602.41,602.41,"Honorarios a personas morales residentes del extranjero partes relacionadas",602.41,"Deudora"
"cod_sat_713","cod_sat_120",602.42,602.42,"Honorarios aduanales personas físicas",602.42,"Deudora"
"cod_sat_714","cod_sat_120",602.43,602.43,"Honorarios aduanales personas morales",602.43,"Deudora"
