"id","parent_id/id","code_prefix_start","code_prefix_end","name","cuenta_sat","cuenta_tipo"
"cod_sat_454","cod_sat_93",253.02,253.02,"Rentas cobradas por anticipado a largo plazo extranjero",253.02,"Acreedora"
"cod_sat_455","cod_sat_93",253.03,253.03,"Rentas cobradas por anticipado a largo plazo nacional parte relacionada",253.03,"Acreedora"
"cod_sat_456","cod_sat_93",253.04,253.04,"Rentas cobradas por anticipado a largo plazo extranjero parte relacionada",253.04,"Acreedora"
"cod_sat_457","cod_sat_93",253.05,253.05,"Intereses cobrados por anticipado a largo plazo nacional",253.05,"Acreedora"
"cod_sat_458","cod_sat_93",253.06,253.06,"Intereses cobrados por anticipado a largo plazo extranjero",253.06,"Acreedora"
"cod_sat_459","cod_sat_93",253.07,253.07,"Intereses cobrados por anticipado a largo plazo nacional parte relacionada",253.07,"Acreedora"
"cod_sat_460","cod_sat_93",253.08,253.08,"Intereses cobrados por anticipado a largo plazo extranjero parte relacionada",253.08,"Acreedora"
"cod_sat_461","cod_sat_93",253.09,253.09,"Factoraje financiero cobrados por anticipado a largo plazo nacional",253.09,"Acreedora"
"cod_sat_462","cod_sat_93",253.10,253.10,"Factoraje financiero cobrados por anticipado a largo plazo extranjero",253.10,"Acreedora"
"cod_sat_463","cod_sat_93",253.11,253.11,"Factoraje financiero cobrados por anticipado a largo plazo nacional parte relacionada",253.11,"Acreedora"
"cod_sat_464","cod_sat_93",253.12,253.12,"Factoraje financiero cobrados por anticipado a largo plazo extranjero parte relacionada",253.12,"Acreedora"
"cod_sat_465","cod_sat_93",253.13,253.13,"Arrendamiento financiero cobrados por anticipado a largo plazo nacional",253.13,"Acreedora"
"cod_sat_466","cod_sat_93",253.14,253.14,"Arrendamiento financiero cobrados por anticipado a largo plazo extranjero",253.14,"Acreedora"
"cod_sat_467","cod_sat_93",253.15,253.15,"Arrendamiento financiero cobrados por anticipado a largo plazo nacional parte relacionada",253.15,"Acreedora"
"cod_sat_468","cod_sat_93",253.16,253.16,"Arrendamiento financiero cobrados por anticipado a largo plazo extranjero parte relacionada",253.16,"Acreedora"
"cod_sat_469","cod_sat_93",253.17,253.17,"Derechos fiduciarios",253.17,"Acreedora"
"cod_sat_470","cod_sat_93",253.18,253.18,"Otros cobros anticipados",253.18,"Acreedora"
"cod_sat_471","cod_sat_94",254.01,254.01,"Instrumentos financieros a largo plazo",254.01,"Acreedora"
"cod_sat_472","cod_sat_95",255.01,255.01,"Pasivos por beneficios a los empleados a largo plazo",255.01,"Acreedora"
"cod_sat_473","cod_sat_96",256.01,256.01,"Otros pasivos a largo plazo",256.01,"Acreedora"
"cod_sat_474","cod_sat_97",257.01,257.01,"Participación de los trabajadores en las utilidades diferida",257.01,"Acreedora"
"cod_sat_475","cod_sat_98",258.01,258.01,"Obligaciones contraídas de fideicomisos",258.01,"Acreedora"
"cod_sat_476","cod_sat_99",259.01,259.01,"ISR diferido",259.01,"Acreedora"
"cod_sat_477","cod_sat_99",259.02,259.02,"ISR por dividendo diferido",259.02,"Acreedora"
"cod_sat_478","cod_sat_99",259.03,259.03,"Otros impuestos diferidos",259.03,"Acreedora"
"cod_sat_479","cod_sat_100",260.01,260.01,"Pasivos diferidos",260.01,"Acreedora"
"cod_sat_480","cod_sat_102",301.01,301.01,"Capital fijo",301.01,"Deudora"
"cod_sat_481","cod_sat_102",301.02,301.02,"Capital variable",301.02,"Deudora"
"cod_sat_482","cod_sat_102",301.03,301.03,"Aportaciones para futuros aumentos de capital",301.03,"Deudora"
"cod_sat_483","cod_sat_102",301.04,301.04,"Prima en suscripción de acciones",301.04,"Deudora"
"cod_sat_484","cod_sat_102",301.05,301.05,"Prima en suscripción de partes sociales",301.05,"Deudora"
"cod_sat_485","cod_sat_103",302.01,302.01,"Patrimonio",302.01,"Deudora"
"cod_sat_486","cod_sat_103",302.02,302.02,"Aportación patrimonial",302.02,"Deudora"
"cod_sat_487","cod_sat_103",302.03,302.03,"Déficit o remanente del ejercicio",302.03,"Deudora"
"cod_sat_488","cod_sat_104",303.01,303.01,"Reserva legal",303.01,"Deudora"
"cod_sat_489","cod_sat_105",304.01,304.01,"Utilidad de ejercicios anteriores",304.01,"Deudora"
"cod_sat_490","cod_sat_105",304.02,304.02,"Pérdida de ejercicios anteriores",304.02,"Deudora"
"cod_sat_491","cod_sat_105",304.03,304.03,"Resultado integral de ejercicios anteriores",304.03,"Deudora"
"cod_sat_492","cod_sat_105",304.04,304.04,"Déficit o remanente de ejercicio anteriores",304.04,"Deudora"
"cod_sat_493","cod_sat_106",305.01,305.01,"Utilidad del ejercicio",305.01,"Deudora"
"cod_sat_494","cod_sat_106",305.02,305.02,"Pérdida del ejercicio",305.02,"Deudora"
"cod_sat_495","cod_sat_106",305.03,305.03,"Resultado integral",305.03,"Deudora"
"cod_sat_496","cod_sat_107",306.01,306.01,"Otras cuentas de capital",306.01,"Deudora"
"cod_sat_497","cod_sat_109",401.01,401.01,"Ventas y/o servicios gravados a la tasa general",401.01,"Acreedora"
"cod_sat_498","cod_sat_109",401.02,401.02,"Ventas y/o servicios gravados a la tasa general de contado",401.02,"Acreedora"
"cod_sat_499","cod_sat_109",401.03,401.03,"Ventas y/o servicios gravados a la tasa general a crédito",401.03,"Acreedora"
"cod_sat_500","cod_sat_109",401.04,401.04,"Ventas y/o servicios gravados al 0%",401.07,"Acreedora"
"cod_sat_501","cod_sat_109",401.05,401.05,"Ventas y/o servicios gravados al 0% de contado",401.08,"Acreedora"
"cod_sat_502","cod_sat_109",401.06,401.06,"Ventas y/o servicios gravados al 0% a crédito",401.09,"Acreedora"
"cod_sat_503","cod_sat_109",401.07,401.07,"Ventas y/o servicios exentos",401.10,"Acreedora"
"cod_sat_504","cod_sat_109",401.08,401.08,"Ventas y/o servicios exentos de contado",401.11,"Acreedora"
"cod_sat_505","cod_sat_109",401.09,401.09,"Ventas y/o servicios exentos a crédito",401.12,"Acreedora"
"cod_sat_506","cod_sat_109",401.10,401.10,"Ventas y/o servicios gravados a la tasa general nacionales partes relacionadas",401.13,"Acreedora"
"cod_sat_507","cod_sat_109",401.11,401.11,"Ventas y/o servicios gravados a la tasa general extranjeros partes relacionadas",401.14,"Acreedora"
"cod_sat_508","cod_sat_109",401.12,401.12,"Ventas y/o servicios gravados al 0% nacionales partes relacionadas",401.15,"Acreedora"
"cod_sat_509","cod_sat_109",401.13,401.13,"Ventas y/o servicios gravados al 0% extranjeros partes relacionadas",401.16,"Acreedora"
"cod_sat_510","cod_sat_109",401.14,401.14,"Ventas y/o servicios exentos nacionales partes relacionadas",401.17,"Acreedora"
"cod_sat_511","cod_sat_109",401.15,401.15,"Ventas y/o servicios exentos extranjeros partes relacionadas",401.18,"Acreedora"
"cod_sat_512","cod_sat_109",401.16,401.16,"Ingresos por servicios administrativos",401.19,"Acreedora"
"cod_sat_513","cod_sat_109",401.17,401.17,"Ingresos por servicios administrativos nacionales partes relacionadas",401.20,"Acreedora"
"cod_sat_514","cod_sat_109",401.18,401.18,"Ingresos por servicios administrativos extranjeros partes relacionadas",401.21,"Acreedora"
"cod_sat_515","cod_sat_109",401.19,401.19,"Ingresos por servicios profesionales",401.22,"Acreedora"
"cod_sat_516","cod_sat_109",401.20,401.20,"Ingresos por servicios profesionales nacionales partes relacionadas",401.23,"Acreedora"
"cod_sat_517","cod_sat_109",401.21,401.21,"Ingresos por servicios profesionales extranjeros partes relacionadas",401.24,"Acreedora"
"cod_sat_518","cod_sat_109",401.22,401.22,"Ingresos por arrendamiento",401.25,"Acreedora"
"cod_sat_519","cod_sat_109",401.23,401.23,"Ingresos por arrendamiento nacionales partes relacionadas",401.26,"Acreedora"
"cod_sat_520","cod_sat_109",401.24,401.24,"Ingresos por arrendamiento extranjeros partes relacionadas",401.27,"Acreedora"
"cod_sat_521","cod_sat_109",401.25,401.25,"Ingresos por exportación",401.28,"Acreedora"
"cod_sat_522","cod_sat_109",401.26,401.26,"Ingresos por comisiones",401.29,"Acreedora"
"cod_sat_523","cod_sat_109",401.27,401.27,"Ingresos por maquila",401.30,"Acreedora"
"cod_sat_524","cod_sat_109",401.28,401.28,"Ingresos por coordinados",401.31,"Acreedora"
"cod_sat_525","cod_sat_109",401.29,401.29,"Ingresos por regalías",401.32,"Acreedora"
"cod_sat_526","cod_sat_109",401.30,401.30,"Ingresos por asistencia técnica",401.33,"Acreedora"
"cod_sat_527","cod_sat_109",401.31,401.31,"Ingresos por donativos",401.34,"Acreedora"
"cod_sat_528","cod_sat_109",401.32,401.32,"Ingresos por intereses (actividad propia)",401.35,"Acreedora"
"cod_sat_529","cod_sat_109",401.33,401.33,"Ingresos de copropiedad",401.36,"Acreedora"
"cod_sat_530","cod_sat_109",401.34,401.34,"Ingresos por fideicomisos",401.37,"Acreedora"
"cod_sat_531","cod_sat_109",401.35,401.35,"Ingresos por factoraje financiero",401.38,"Acreedora"
"cod_sat_532","cod_sat_109",401.36,401.36,"Ingresos por arrendamiento financiero",401.39,"Acreedora"
"cod_sat_533","cod_sat_109",401.37,401.37,"Ingresos de extranjeros con establecimiento en el país",401.40,"Acreedora"
"cod_sat_534","cod_sat_109",401.38,401.38,"Otros ingresos propios",401.41,"Acreedora"
"cod_sat_535","cod_sat_109",401.39,401.39,"Ventas y/o servicios gravados realizados en zona fronteriza norte",401.04,"Acreedora"
"cod_sat_536","cod_sat_109",401.40,401.40,"Ventas y/o servicios gravados realizados en zona fronteriza norte de contado",401.05,"Acreedora"
"cod_sat_537","cod_sat_109",401.41,401.41,"Ventas y/o servicios gravados realizados en zona fronteriza norte a crédito",401.06,"Acreedora"
"cod_sat_538","cod_sat_110",402.01,402.01,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios a la tasa general",402.01,"Acreedora"
"cod_sat_539","cod_sat_110",402.02,402.02,"Devoluciones, descuentos o bonificaciones sobre ventas y/o servicios al 0%",402.03,"Acreedora"
